,書名,作者,出版日期,內容介紹,網址
1,民事訴訟法基礎論(十二版),姜世明,2020-10-01,"
本書共分為二十章，對民事訴訟法之課題擇其重點，予以說明。其乃著重在對基本論之探討，於憲法原則及民事程序法之發展關係、處分權主義及辯論主義之流變，有較為詳細之介紹。本書對於現今民事訴訟法學處於...more
",https://www.books.com.tw/products/0010872494?loc=P_0003_001
2,民事法理論與實務的新開展：陳志雄律師八秩華誕祝壽論文集,,2020-09-29,"
本書特色    本書定名為《民事法理論與實務的新開展》，作者群包括陳律師之同窗故舊及學術界、實務界之法學俊秀。本書作者敬佩陳志雄律師認真工作的精神與做人處世之道，紛紛貢獻學術研究及實務工作心得，...more
",https://www.books.com.tw/products/0010873013?loc=P_0003_002
3,民法：案例式(8版),林洲富,2020-09-25,"
民法為萬法之母，為私法之基本大法，規範私人間之財產及身分關係之法律，其內容浩繁，涵蓋範圍甚廣，故如何掌握法律規範之重點，正確解釋及適用法律，將民法理論應用於實際之民事事件，誠屬重要。作者從事...more
",https://www.books.com.tw/products/0010872856?loc=P_0003_003
4,民法親屬新論(修訂十五版),"郭振恭,陳棋炎,黃宗樂",2020-09-25,"
民法親屬編於民國十九年十二月二十六日制定公布，自翌年五月五日施行，而於民國三十四年十月二十五日施行於臺灣，其後以民國七十四年六月三日修正公布為嚆矢，迄今共歷經十九次修正公布(最近一次之修正公...more
",https://www.books.com.tw/products/0010871425?loc=P_0003_004
5,民法物權(修訂五版),謝哲勝,2020-09-18,"
民法物權編配合大法官釋字第349號解釋，在2007年至2010年三次大幅修正，包括修正物權法定主義並增訂登記對抗條文，以大幅擴張物權自治的空間後，這些修正的物權法法理基礎為何，修正後的條文如何解釋適用...more
",https://www.books.com.tw/products/0010871427?loc=P_0003_005
6,訴之聲明及其相關法律問題之實務案例介紹(3版),"陳信瑩,陳容正,陳志雄",2020-09-10,"
本書特色   本書集結作者三人長年積累之民事訴訟案件辦理心得，將給付之訴、確認之訴及形成之訴三種訴訟類型，就「訴之聲明撰寫」、「請求權基礎」相關重要暨其他較不為人所知之「訴訟標的價額計算」、「...more
",https://www.books.com.tw/products/0010870737?loc=P_0003_006
7,家事事件法之理論與實務(七版),李太正,2020-09-10,"
家事事件法為一程序新法，訴訟非訟交錯，法理新舊更替，非理論與實務印證，難窺堂噢，明其要義。作者從事法學研究多年，講授著述不斷，家事行政與審判經驗豐富，理論與實務兼具，且於本法施行後參與相關家...more
",https://www.books.com.tw/products/0010871386?loc=P_0003_007
8,契約違反與履行請求：契約法講義Ⅲ(二版),陳自強,2020-09-01,"
本書為作者契約法講義系列的第三部曲，乃契約違反(相當於傳統所謂債務不履行)體系書的前半部。    本書體系架構及論述，既不依循民法債編法典編排順序，也不採分別從給付不能、給付遲延及不完全給付討論要...more
",https://www.books.com.tw/products/0010869365?loc=P_0003_008
9,法院組織法(7版),姜世明,2020-09-01,"
本書特色   本書係因應法院組織法、法官法、國民法官法及部分相關組織法之修正，做必要之更新，以符實用。另並對部分實務發展之觀察及檢討加以強化，其中，對司法公信不彰之原因追究、司法解釋權是否漸次...more
",https://www.books.com.tw/products/0010869804?loc=P_0003_009
10,民法物權逐條釋義(六版),邱玟惠,2020-09-01,"
本書是作者任教於東吳大學民法物權之上課教材，以逐條釋義方式編排，就條文中之各關鍵字以註腳方式解說。雖以逐條釋義為主架構，但編寫上並不忘建構體系，並整合相關之民法總則編及債編概念。作者以此教材...more
",https://www.books.com.tw/products/0010870130?loc=P_0003_010
11,債編各論逐條釋義(七版),吳志正,2020-09-01,"
本書原是筆者任教東吳大學債編各論之上課講義，以逐條釋義方式編排，就條文中之各關鍵字以註腳方式解說，雖逐條釋義但其編寫亦不忘建構體系。筆者以此講義授課二年後，見學生學習效果極佳，遂成書。至今已...more
",https://www.books.com.tw/products/0010871069?loc=P_0003_011
12,實用民法概要(21版),劉振鯤,2020-09-01,"
本書內容除就民法作重點闡述外，並將相關之法律名詞，以法律小辭典之方式，附註於旁，更將有爭議之法律問題，於適當章節，列為專欄加以研究分析。在各章節之後，又列有基礎習題與應用習題；另就某一法律問...more
",https://www.books.com.tw/products/0010869360?loc=P_0003_012
13,民事訴訟法(第二冊)(四版),李淑明,2020-09-01,"
這是一本為民法、民訴搭起橋樑的教科書!    體系架構：按訴訟進行流程，循序為階段式說明。如果您對民事訴訟法的認識，仍然停留在「點」的觀念、沒有「線」的連結，本書的階段式說明法，為您將零散的觀念...more
",https://www.books.com.tw/products/0010870784?loc=P_0003_013
14,勞動訴訟實務,陳金泉,2020-09-01,"
本書特色   本書是國內第一本體系完整介紹勞動訴訟實務之專書，全書以民事程序法為主幹，輔以勞動實體法各重要爭點。2020年1月1日起施行之「勞動事件法」全部重要條文內容亦均已納入各章節當中。   第一章...more
",https://www.books.com.tw/products/0010869807?loc=P_0003_014
15,社科民法釋義學,張永健,2020-08-13,"
本書特色   《社科民法釋義學》以社會科學理論，結合民法釋義學方法；此種取徑在中文世界中少見。本書先介紹社會科學與法學的方法論座標，並縝密論述經濟分析與法釋義學結合的方式與必要性。在論述成本效...more
",https://www.books.com.tw/products/0010867777?loc=P_0003_015
16,民法：2020-2021年版(23版),五南法學研究中心,2020-08-10,"
本版新增修法規係收錄至108年7月24日總統正式公布之最新法規。   新增法規：家事事件法、家事事件法施行細則。...more
",https://www.books.com.tw/products/0010867437?loc=P_0003_016
17,民法概要(十五版),"林秀雄,林誠二,詹森林,陳榮傳,馮震宇",2020-08-10,"
民法範圍之廣、理論之眾，向居首席。欲以一書精研詳述，恐屬不易，毋寧言簡意賅、概要提綱，本書邀集學有專精之民法教授，就民法作一有系統之整理與介紹。舉凡個人日常生活之各類型契約及當事人之權利義務...more
",https://www.books.com.tw/products/0010871379?loc=P_0003_017
18,私法學之國際視野,"Stephan Lorenz,Thomas Ackermann,吉田邦彦,呂彥彬,徐婉寧,河上正二,牛曰正,王千維,許政賢,黃松茂",2020-08-01,"
政治大學法學院民事法學中心成立20年以來，積極從事國際學術交流，本書主要收錄2019年度的部分成果。其中以民法、消費者法為對象，藉由基礎性理論思考及應用性案例解析，透過關於體系思維、制度變革的探究...more
",https://www.books.com.tw/products/0010867218?loc=P_0003_018
19,不動產登記,黃健彰,2020-08-01,"
本書以比較法與法律經濟分析法研究不動產登記的重要議題，探討時結合民法與行政法，以台灣法為中心，尚一併論及澳洲、英國、美國、德國、瑞士、日本、中國大陸與其他國家法制，並已將國內外最新法令、理論...more
",https://www.books.com.tw/products/0010868560?loc=P_0003_019
20,民法入門(14版),李淑明,2020-08-01,"
【本書架構】   這是一本帶領您認識民法的好書!   民法，是所有法律學習者，首先接觸認識的法律學科，一千多個錯綜複雜的條文，常使學習者迷失方向。作者依民事法律關係的發展流程，從法律關係的發生、效...more
",https://www.books.com.tw/products/0010868564?loc=P_0003_020
21,民法：本土案例式教材(第六版),"徐名駒,王國治,鄭錦鳳",2020-08-01,"
本書拋棄傳統的體系式教學，而採生活法律、司法裁判與司法院大法官釋字之案例式教學，容易啟發讀者對民法的瞭解與興趣，這是一本理論與實務兼備之民法教科書。   全書在第0章概論之後，分為六章分別講述民...more
",https://www.books.com.tw/products/0010869574?loc=P_0003_021
22,民法‧親屬繼承,黃碧芬,2020-07-28,"
本書透過簡明的用語、清晰的觀念為讀者介紹艱澀難懂的法律條文，讓讀者在短時間內掌握親屬繼承的精神。   我國民法親屬繼承的條文於民國97年5月作了大幅度的修正，並且自98年11月23日開始實施新條文，本版...more
",https://www.books.com.tw/products/0010865249?loc=P_0003_022
23,公寓大廈管理條例問與答,李明洲,2020-07-16,"
本書特色   李明洲律師基於公寓大廈法律諮詢經驗，自其判解彙編、逐條釋義等研究所得中，摘錄常見法律問題及重要基本概念共1300餘則，並增加新近實務見解，重新編寫而成。本書對於「管理費收取標準與催繳...more
",https://www.books.com.tw/products/0010865168?loc=P_0003_023
24,民法概要(14版),陳聰富,2020-07-01,"
.本書以實例解題的方式，一方面呈現民法的體系架構，另一方面澄清民法的基本觀念，使讀者對於民法的基本架構、重要問題及思考模式，有所認識。本書的取材內容，盡可能以日常生活上，一般人經常接觸的民事...more
",https://www.books.com.tw/products/0010864360?loc=P_0003_024
25,圖解民法(3版),楊智傑,2020-02-28,"
作者擅長寫作通俗法律文章，其繼「圖解憲法」及「圖解法律」之後，又一姊妹作，用一頁文、一頁圖的方式，輕鬆講解民法重要概念。文章部分，作者打破法律人的文言文，用一般人可以接受的通順文字，說明最精...more
",https://www.books.com.tw/products/0010850478?loc=P_0003_025
26,民事訴訟法理論與案例(四版),林洲富,2020-02-01,"
民事訴訟法係保護私法之權利，請求法院確定其權利存否之法定程序，為程序法之基本法，可分財產權與非財產權之訴訟。其內容浩繁，涵蓋範圍甚廣，作者本於教授民事訴訟法及民事法院審判之經驗，依據學說與實...more
",https://www.books.com.tw/products/0010849332?loc=P_0003_026
27,民法總則(11版),李淑明,2020-02-01,"
這是一本值得推薦及珍藏的好書!   如果您是法律門外漢，這本書是您不可錯過的入門書。本書以每個人都可以了解的語言，舉例講解有如天書一般的法律文字，是的!任何人都可以看得懂。   如果您已經加入了法律...more
",https://www.books.com.tw/products/0010849337?loc=P_0003_027
28,民法概要(修訂十四版),劉宗榮,2020-01-17,"
本書為保持內容的新穎性，乃配合我國民法關於行為能力、保證、所有權、用益物權、擔保物權、占有、結婚、離婚、夫妻財產制、父母子女、監護、限定繼承及拋棄繼承等的修正，內容大幅更新。   全書具有下列...more
",https://www.books.com.tw/products/0010847979?loc=P_0003_028
29,民事訴訟法(上)(修訂九版),"林慶苗,陳榮宗",2020-01-10,"
本書不同於坊間其他同類型書籍，其特色為學說理論討論頗多，是以往出版之民事訴訟法書籍所無，並對實務上重要之最高法院判例引用詳加介紹；論述方式則採半論文體裁，可供研究理論與實務辦案之用。全書內容...more
",https://www.books.com.tw/products/0010865036?loc=P_0003_029
30,民法(概要)解題完全制霸,徐裕唐,2019-12-27,"
在國家考試(高普、初考、身心障礙、關務、稅務、鐵路、地方特考等)中，民法多以混合(申論題50%、選擇題50%)或單以選擇題(100%)為命題方式；考生必須有一套有效的方法，以最短的時間，精準的掌握準備方向。...more
",https://www.books.com.tw/products/0010634322?loc=P_0003_030
31,民法物權與不動產法規,許文昌,2019-12-10,"
本書係針對不動產估價師考試而編寫，內容含括「民法物權編」及「不動產法規」兩部分，將重點有系統的整理，輔以綱要表解、體系說明，提綱挈領，為考試之必備工具書。   內容採表解方式呈現，依最新法規整...more
",https://www.books.com.tw/products/0010287312?loc=P_0003_031
32,第三人程序參與：民事程序法焦點論壇 第七卷,"Gottwald,劉明生,劉玉中,史明洲,吳從周,姜世明,張文郁,陳啓垂,黃源浩",2019-11-27,"
本書為民事程序法焦點論壇第七屆研討會之論文集結，研討主題為第三人程序参與，討論對象包括第三人之事前程序保障及事後程序保障制度。對於訴訟參加、告知訴訟、職權通知、原告之強制追加及第三人撤銷訴訟...more
",https://www.books.com.tw/products/0010842184?loc=P_0003_032
33,公寓大廈管理條例(逐條釋義),李明洲,2019-11-27,"
公寓大廈與集居地區，為台灣目前主要的居住模式，「公寓大廈管理條例」誠然與民眾居住生活息息相關。本書採「逐條釋義」體例撰寫，就本條例各法條的解說，援引立法意旨、法院見解及主管機關法令函釋，並摘...more
",https://www.books.com.tw/products/0010842186?loc=P_0003_033
34,研發成果進軍全球的關鍵秘訣,財團法人資訊工業策進會科技法律研究所,2019-11-01,"
如何保護珍貴的研發成果，才能確保後續商業權利不受侵害?   在研發成果商業化的過程中有哪些需要注意的重點?   近年世界各國都積極提升自己的研發能量，如何運用這些創新技術與研發成果帶動經濟成長，是全...more
",https://www.books.com.tw/products/0010839763?loc=P_0003_034
35,民法繼承新論(修訂十一版),"郭振恭,陳棋炎,黃宗樂",2019-10-11,"
本書係以民法繼承編為論述對象，呈現最新之內容，兼顧理論與實務，為有系統之論述，既適合採為教科書，復可供辦案研究之參考。最近，司法院公布釋字第七七一號解釋，關乎繼承回復請求權之行使；「司法院釋...more
",https://www.books.com.tw/products/0010837105?loc=P_0003_035
36,民事訴訟法實例研習(五版),劉明生,2019-10-01,"
本書以民事訴訟法實例題之研習為主，共包含五十九則實例題之演練。其乃著重民事訴訟法上相關重要課題之實例研習，如處分權主義與訴訟標的理論、修正辯論主義與協同主義、民事訴訟第一審程序充實與集中原則...more
",https://www.books.com.tw/products/0010836946?loc=P_0003_036
37,民法概要(修訂十五版),鄭玉波,2019-09-27,"
民法規範人民的財產及身分關係，與生活息息相關，為人民生活之根本大法。 惟民法歷史源遠流長，理論體系博大精深，法條文字精潔抽象，初學者每感瞭解不易。本書乃依民法典編制體例，將民法有關之原理原則...more
",https://www.books.com.tw/products/0010835386?loc=P_0003_037
38,債編各論逐條釋義(六版),吳志正,2019-09-01,"
本書原是筆者任教東吳大學債編各論之上課講義，以逐條釋義方式編排，就條文中之各關鍵字以註腳方式解說，雖逐條釋義但其編寫亦不忘建構體系。筆者以此講義授課二年後，見學生學習效果極佳，遂成書。至今已...more
",https://www.books.com.tw/products/0010832715?loc=P_0003_038
39,民法概要(13版),陳聰富,2019-09-01,"
本書以實例解題的方式，一方面呈現民法的體系架構，另一方面澄清民法的基本觀念，使讀者對於民法的基本架構、重要問題及思考模式，有所認識。本書的取材內容，盡可能以日常生活上，一般人經常接觸的民事法...more
",https://www.books.com.tw/products/0010832724?loc=P_0003_039
40,民法物權逐條釋義(五版),邱玟惠,2019-09-01,"
本書是作者任教於東吳大學民法物權之上課教材，以逐條釋義方式編排，就條文中之各關鍵字以註腳方式解說。雖以逐條釋義為主架構，但編寫上並不忘建構體系，並整合相關之民法總則編及債編概念。作者以此教材...more
",https://www.books.com.tw/products/0010833448?loc=P_0003_040
41,實用民法概要(20版),劉振鯤,2019-09-01,"
本書內容除就民法作重點闡述外，並將相關之法律名詞，以法律小辭典之方式，附註於旁，更將有爭議之法律問題，於適當章節，列為專欄加以研究分析。在各章節之後，又列有基礎習題與應用習題；另就某一法律問...more
",https://www.books.com.tw/products/0010833469?loc=P_0003_041
42,民法總則(三版),陳聰富,2019-09-01,"
希望藉由法院實務判決的案例，闡釋法律概念的精義，演繹實際案例的應用，期使讀者得以了解民法總則規定的體系架構與重要觀念。為節省篇幅，放棄鉅細靡遺的教科書書寫方式，對於實務上極少應用的名詞解釋，...more
",https://www.books.com.tw/products/0010833457?loc=P_0003_042
43,民法概要(9版),徐美貞,2019-08-25,"
本書將民法的精義以章節、條理方式呈現，排除一般法律書籍艱澀、繁雜之文字敘述，讓讀者可以容易瞭解民法的內容。全書除了民法的介紹，於課文中列舉重點案例解析(案例及解答)，實務與法理相互呼應，讓讀者...more
",https://www.books.com.tw/products/0010835285?loc=P_0003_043
44,圖解民事訴訟法(第三版)：國家考試的第一本書,錢世傑,2019-08-02,"
【圖像+範例+記憶方法】   化繁為簡讀書術，輕鬆搞定民事訴訟法!   本書透過統整、精要但淺白的圖像式閱讀，   用跳脫傳統的讀書方法，   更有效率地全盤瞭解訴訟程序!   打好體系概念基石的法律圖解書   ...more
",https://www.books.com.tw/products/0010829243?loc=P_0003_044
45,中日民商法研究第十八卷,"中原太郎,久保田隆,內藤卓,劉成墉,大村敦志,平野溫郎,張禮洪,張雅玲,得津晶,朱圓,李一嫻,李宇,段磊,渠濤,潘運華,王冷然,王萬旭,田澤元章,竹中悟人,蒔山明宏,蔡唱,解亘,趙銀仁,道垣內弘人",2019-08-01,"
本卷收錄中日民商法研究會第十七屆大會(2018年9月8~9日)的內容。...more
",https://www.books.com.tw/products/0010831985?loc=P_0003_045
46,違章建築專題研究,"吳光陸,吳從周,吳明軒,張永健,林俊廷,楊芳賢,許政賢,謝哲勝,魏大喨",2019-08-01,"
臺灣不能登記移轉之違章建築繁多且交易者眾。最高法院創造出事實上處分權之概念因應，惟究竟事實上處分權意義為何?實務上對事實上處分權的行使有何界限?對於相關之所有人、受讓人甚至承租人等，違章建築之...more
",https://www.books.com.tw/products/0010832001?loc=P_0003_046
47,民事訴訟法之研討(廿四),"侯岳宏,傅柏翔,李柏毅,李瑞敏,林佳和,程居威,蔡正廷,蔡菘萍,蘇文生,邱羽凡,郭玲惠,陳業鑫,黃朝琮",2019-08-01,"
本書收錄民訴法研討會第一三七次至第一四一次研討紀錄共五篇次，內容涵蓋確認身分關係存否訴訟之被告適格與訴之利益、公私法交錯之民事與行政訴訟審判權劃分、勞動調解程序之重構、評最高法院106年度台上...more
",https://www.books.com.tw/products/0010829285?loc=P_0003_047
48,民事訴訟法註釋書(一),"劉明生,姜世明",2019-07-24,"
本書特色   本書係民事訴訟法註釋書第一冊，內容涵括自第一條至第一二○條各條文之注釋，其中對於管轄、迴避、當事人能力、當事人適格、訴訟擔當、共同訴訟、第三人程序參與及訴訟代理等議題，廣蒐各類實務...more
",https://www.books.com.tw/products/0010830090?loc=P_0003_048
49,醫師民事責任之實體與程序法上問題之研究：民事程序法焦點論壇 第六卷,,2019-07-15,"
本書特色   本書係關於醫師民事責任中實體法及程序法上部分爭議問題之研究，其中，對於相關實體法上請求權之適用及要件之分析、舉證責任之分配及舉證責任減輕，各作者提出對日本、澳門、臺灣、德國、美國...more
",https://www.books.com.tw/products/0010829208?loc=P_0003_049
50,住宅租賃契約：理論與實務教戰手冊,楊文瑞,2019-07-01,"
作者原於科技業界從事科技法律工作，投資經營租賃住宅迄今已10餘年。本書與坊間最大不同之處在於：一、以科技法律背景解析實務問題，避免道聽塗說；二、加入《公寓大廈管理條例》等相關內容，務求解決實務...more
",https://www.books.com.tw/products/0010827733?loc=P_0003_050
51,問道民法：江平、王澤鑑對話中國民法法典化,"方流芳,蘇永欽",2019-07-01,"
中國大陸《民法總則》剛剛通過之際，兩岸民法學界兩位泰斗人物江平教授、王澤鑑教授就中國民法法典化展開深度學術對話，全面、多點、雙線「問道」民法。全書對話由朱慶育教授主持。   本書對中國民法典的...more
",https://www.books.com.tw/products/0010828560?loc=P_0003_051
52,尋找新民法：蘇永欽、方流芳對話中國民法法典化,"方流芳,蘇永欽",2019-07-01,"
本書為蘇永欽教授及方流芳教授就大陸民法法典化展開的對談錄，全書對話由朱慶育教授主持。   從民法典的社會基礎與制度供求到其功能定位與制度資源，從其法律適用與法官造法到其法源構成與民事習慣，從其...more
",https://www.books.com.tw/products/0010828562?loc=P_0003_052
53,侵權行為因果關係之探討,"吳志正,姚志明,張倍齊,林信和,王千維,詹森林,陳聰富,黃立",2019-07-01,"
實務向來採取相當因果關係作為判斷因果關係有無之方式，但相當因果關係之認定標準模糊且有其極限。此外在公害、醫療或高度專業等現代型紛爭中，將涉及舉證責任減輕或轉換，實務上又是如何操作?   本書從侵...more
",https://www.books.com.tw/products/0010828563?loc=P_0003_053
54,侵占罪與侵占遺失物罪,"吳耀宗,張天一,王效文,甘添貴,許恒達,許澤天,高金桂,黃惠婷",2019-07-01,"
侵占罪，財產犯罪中極為重要者之一，其構成要件簡言而之，係「易持有為所有」，然何謂持有?何種型態下屬於易持有為所有?此種易持有為所有之型態有無可能成立未遂犯?另外，侵占罪要求持有之狀態，即屬一身...more
",https://www.books.com.tw/products/0010828568?loc=P_0003_054
55,定型化契約專題(二)：非消費性關係與個案類型,"曾品傑,林孟皇,楊淑文,王煦棋,詹森林",2019-07-01,"
在《定型化契約專題(一)》中為讀者選錄定型化契約的基本問題，緊接著要了解的是在非消費性關係中(如：保證)，定型化契約應如何具體適用?並藉由各種典型的案例，如：信用卡、工程履約保證金以及海外遊學等...more
",https://www.books.com.tw/products/0010828575?loc=P_0003_055
56,租賃專題研究(一)：出租人與承租人之權利義務,"侯英泠,吳從周,吳瑾瑜,姚志明,徐婉寧,李木貴,林誠二,詹森林,謝哲勝",2019-07-01,"
租賃契約中，出租人與承租人所負責任內容具有一定特殊性。本書從介紹出租人之主給付義務開始，特別是民法第423條後段之「用益狀態之維持義務」內涵，並分析實務對出租人是否已交付「合於所約定使用、收益...more
",https://www.books.com.tw/products/0010828565?loc=P_0003_056
57,民法總則精選判決評釋,"侯岳宏,向明恩,呂彥彬,姜炳俊,徐慧怡,戴瑀如,杜怡靜,楊佳元,游進發,王怡蘋,蔡瑄庭,郭玲惠,陳榮傳",2019-07-01,"
民法是規範人民權利義務，具生活化特質的基礎法律，為法律初學者必備的法學知識。且民法可說是學習一切法律之入門。近年來法院判決對於民法進行解釋，所形成的法理也扮演著重要角色。   因此，臺北大學法...more
",https://www.books.com.tw/products/0010827199?loc=P_0003_057
58,民事訴訟法(第四冊),李淑明,2019-07-01,"
這是一本為民法、民訴搭起橋樑的教科書!   體系架構：按訴訟進行流程，循序為階段式說明。如果您對民事訴訟法的認識，仍然停留在「點」的觀念、沒有「線」的連結，本書的階段式說明法，為您將零散的觀念，...more
",https://www.books.com.tw/products/0010829292?loc=P_0003_058
59,家事事件法之理論與實務(六版),李太正,2019-07-01,"
家事事件法為一程序新法，訴訟非訟交錯，法理新舊更替，非理論與實務印證，難窺堂奧，明其要義。本書作者從事法學研究多年，講授著述不斷，家事行政與審判經驗豐富，理論與實務兼具，且於本法施行後參與相...more
",https://www.books.com.tw/products/0010829298?loc=P_0003_059
60,民事訴訟法理實踐,魏大喨,2019-06-14,"
本書特色   民事訴訟學科是一門活用法學，以實用為要。同著者法學論文集第一卷，本卷亦著重於法學理論之實踐。分別就民行政訴訟審判權劃分、訴訟標的理論、集中審理，及審級救濟制度、既判力破除，作較具...more
",https://www.books.com.tw/products/0010825746?loc=P_0003_060
61,租賃專題研究(二)：買賣不破租賃、先買權與房地分離,"吳從周,林俊廷,林誠二,溫豐文,簡資修,許政賢,黃健彰,黃立",2019-06-01,"
買賣不破租賃似乎理所當然之理，但實務有逐漸擴張的趨勢，在理論上有無正當性?優先承買權在違章建築中有無適用?土地房屋若無租賃關係，是否仍得適用分離後的「推定租賃」? 本書將區分章節，選錄重要文章，...more
",https://www.books.com.tw/products/0010826469?loc=P_0003_061
62,連帶與不真正連帶債務,"林信和,林誠二,楊淑文,王千維,謝銘洋",2019-06-01,"
數債務人負連帶賠償責任十分常見。但真正連帶與不真正連帶債務的成立、效果不盡相同，特別是不真正連帶債務，在臺灣並未明文。因此，在一人清償後，數債務人間的關係為何，即生爭議。   本書收錄各家對真...more
",https://www.books.com.tw/products/0010826473?loc=P_0003_062
63,集中審理與失權,"吳從周,廖蕙玟,張文郁",2019-06-01,"
在案件繁雜的現代，為避免直接審理主義與言詞辯論主義空洞化，民事訴訟法修正後透過爭點、紛爭集中以及適時提出主義等，課予當事人促進訴訟義務。然而現行法下哪些程序是為求集中審理而設?適時提出主義的...more
",https://www.books.com.tw/products/0010826475?loc=P_0003_063
64,租賃專題研究(三)：借地建屋,"吳從周,林更盛,許政賢,謝哲勝,陳聰富",2019-06-01,"
非土地所有人在土地上建屋，往往因起造時未表明權源，而被認雙方是有使用借貸關係。然而在借地建屋後，房屋出賣與第三人得否主張有推定租賃的適用?又若是土地出賣與第三人，第三人得否主張拆除房屋?   本...more
",https://www.books.com.tw/products/0010826477?loc=P_0003_064
65,定型化契約專題(一)：定型化契約與內容控制,"曾品傑,林誠二,許政賢,詹森林,謝哲勝,陳聰富,黃立",2019-06-01,"
民法第247條之1與消費者保護法一同架構出定型化契約的管制，此種管制多以違反平等互惠、誠信原則等不確定法律概念，給予法院很大裁量空間。因此，實務上對於定型化契約條款的判斷標準極為重要。   本書由...more
",https://www.books.com.tw/products/0010826481?loc=P_0003_065
66,圖解車禍資訊站：第一次打車禍官司就OK!(第四版),錢世傑,2019-05-31,"
出差旅遊、交通安全的 必備隨車寶典! 【圖像+實例+訴狀範例】 一步步教您車禍事故的自保資訊!   檢視下列問題，看看自己知多少   ● 皮肉傷需不需要驗傷?   ● 車禍現場該如何蒐證?   ● 如果警方不製作筆錄...more
",https://www.books.com.tw/products/0010822540?loc=P_0003_066
67,圖解民法：國家考試的第一本書(第四版),錢世傑,2019-05-31,"
民法法條上千，難記易混淆 【圖像+實例+記憶方法】 更能事半功倍掌握民法要點!   系統性學習方法搭配關鍵考題解析   透過不同層次、角度觀察，逐一剖析民法重要觀念    就是要讓讀者在閱讀間，輕鬆建立民...more
",https://www.books.com.tw/products/0010822661?loc=P_0003_067
68,法實證研究：原理、方法與應用,張永健,2019-05-16,"
這是中文世界第一本關注民事實體法的實證研究專書，也是第一本探討地方法院判決的實證研究專書。   從實證研究作為法學方法的角色定位出發，探索物權法、侵權法、不當得利法的實務問題，將經濟學、心理學...more
",https://www.books.com.tw/products/0010823319?loc=P_0003_068
69,財團法人實務爭議研究：設立至解散清算之流程分析(二版),"廖世昌,張庭維,陳岳瑜",2019-05-01,"
這是國內第一本探究財團法人設立到消滅的專書，本書作者以多年承辦財團法人設立、變更到消滅的經驗，探討過程中可能涉及的相關法律問題，將現行財團法人設立之程序，包含申請設立許可、聲請法院登記、財團...more
",https://www.books.com.tw/products/0010823767?loc=P_0003_069
70,民法概要,宋律師,2019-03-19,"
本書特色   國家考試中，民法往往著重於基本概念的運用，較少出現全新的概念，就算沒看過的題目幾乎也都只是重要基本概念的排列組合。在民法的準備上，重要的法條務必要能讀熟並加以記憶，雖不必逐字記憶...more
",https://www.books.com.tw/products/0010668891?loc=P_0003_070
71,民法入門(13版),李淑明,2019-02-01,"
【本書架構】   這是一本帶領您認識民法的好書!   民法，是所有法律學習者，首先接觸認識的法律學科，一千多個錯綜複雜的條文，常使學習者迷失方向。作者依民事法律關係的發展流程，從法律關係的發生、效...more
",https://www.books.com.tw/products/0010812441?loc=P_0003_071
72,家事事件法逐條解析(二版),郭欽銘,2019-02-01,"
用逐條釋義之方法，並以淺顯易懂之文字解析家事事件法共200條條文暨相關法律說明，輔以自製之圖表以及司法院實務書狀，介紹實務、其他學者見解，俾讓讀者對於整部家事事件法，在最短期間內，得能通盤了解...more
",https://www.books.com.tw/products/0010813888?loc=P_0003_072
73,繼承法講義,林秀雄,2019-02-01,"
本書依條文之編排順序，將民法繼承編之相關問題予以體系化的介紹。為使讀者能夠容掌握爭點，乃將學說予以詳述，並將實務見解例於註中，以便參照。書中之個人見解，大多為作者長期思考下之結論，整體上呈現...more
",https://www.books.com.tw/products/0010814606?loc=P_0003_073
74,家事事件法論,許士宦,2019-01-31,"
本書係有關家事事件法之論文集。作者為司法院家事事件法研究制定委員會委員，針對該法完成立法並予施行後所滋生之學說上及實務上爭議，從立法旨趣說明其應有之解釋論及運用論，藉此闡述同法之基本構造及基...more
",https://www.books.com.tw/products/0010814986?loc=P_0003_074
75,2018年民事訴訟法修正草案評析：民事程序法焦點論壇 第五卷,"劉坤典,劉明生,劉玉中,吳從周,姜世明,林俊廷,王怡蘋,鄭傑夫,陳啓垂,陳重陽,魏大喨",2019-01-30,"
本書係2018年12月8日民事程序法焦點論壇之論文集結，論題係對於2018年5月31日由司法院提出之民事訴訟法修正草案之分析與建議。其中，無論係對於上級審制度變革或就誠信原則、專家意見、計畫審理、律師強制...more
",https://www.books.com.tw/products/0010813864?loc=P_0003_075
76,家事事件法,高鳳仙,2019-01-25,"
本書係作者從事與家事事件相關之案件審判、學校教學、法律制定之成果，依家事事件法之章節，分章論述，依序為家事事件法之意義與沿革、總則、調解程序、家事訴訟程序、家事非訟程序履行之確保及執行、附則...more
",https://www.books.com.tw/products/0010813678?loc=P_0003_076
77,民事實務之當前論爭課題：民事法學與法學方(第八冊),吳從周,2019-01-01,"
本書收錄了作者自「民事法學與法學方法」論文集第七冊出版兩年多以來，針對近年來民事實務上諸多重要之論爭課題所發表之期刊論文共十三篇，包括借名登記、違章建築、公同共有債權之行使、支付命令之修法等...more
",https://www.books.com.tw/products/0010806997?loc=P_0003_077
