,書名,作者,出版日期,內容介紹,網址
1,109年客語能力認證基本詞彙中級暨中高級(饒平腔 上、下冊)[附USB],"古國順等,客家委員會",2020-06-01,"
語言別：中客語   饒平腔客語詞彙、客語標音、華語詞義及客語例句，並加註華語翻譯，共計18單元，內容包含所有日常生活之客家用語等，符合客語認證中級暨中高級能力之用語。...more
",https://www.books.com.tw/products/0010869496?loc=P_0003_001
2,109年客語能力認證基本詞彙中級暨中高級(詔安腔 上、下冊)[附USB],"古國順等,客家委員會",2020-06-01,"
語言別：中客語   詔安腔客語詞彙、客語標音、華語詞義及客語例句，並加註華語翻譯，共計18單元，內容包含所有日常生活之客家用語等，符合客語認證中級暨中高級能力之用語。...more
",https://www.books.com.tw/products/0010869498?loc=P_0003_002
3,109年客語能力認證基本詞彙中級暨中高級(海陸腔 上、下冊)[附USB],"古國順等,客家委員會",2020-06-01,"
語言別：中客語   海陸腔客語詞彙、客語標音、華語詞義及客語例句，並加註華語翻譯，共計18單元，內容包含所有日常生活之客家用語等，符合客語認證中級暨中高級能力之用語。...more
",https://www.books.com.tw/products/0010869503?loc=P_0003_003
4,109年客語能力認證基本詞彙中級暨中高級(大埔腔 上、下冊)[附USB],"古國順等,客家委員會",2020-06-01,"
語言別：中客語   大埔腔客語詞彙、客語標音、華語詞義及客語例句，並加註華語翻譯，共計18單元，內容包含所有日常生活之客家用語等，符合客語認證中級暨中高級能力之用語。...more
",https://www.books.com.tw/products/0010869504?loc=P_0003_004
5,109年客語能力認證基本詞彙中級暨中高級(四縣腔 上、下冊)[附USB],"古國順等,客家委員會",2020-06-01,"
語言別：中客語   四縣腔客語詞彙、客語標音、華語詞義及客語例句，並加註華語翻譯，共計18單元，內容包含所有日常生活之客家用語等，符合客語認證中級暨中高級能力之用語。...more
",https://www.books.com.tw/products/0010869508?loc=P_0003_005
6,109年客語能力認證基本詞彙初級/客語能力初級認證題庫(四縣腔)[附USB],,2020-03-01,"
四縣腔客語詞彙、客語標音、華語詞義及客語例句，並加註華語翻譯，共計18單元，內容包含所有日常生活之客家用語等，符合客語認證初級能力之用語。   針對客語能力認證初級題庫題型分別為認證題型分為：「...more
",https://www.books.com.tw/products/0010861622?loc=P_0003_006
7,109年客語能力認證基本詞彙初級/客語能力初級認證題庫(海陸腔)[附USB],,2020-03-01,"
海陸腔客語詞彙、客語標音、華語詞義及客語例句，並加註華語翻譯，共計18單元，內容包 含所有日常生活之客家用語等，符合客語認證初級能力之用語。   針對客語能力認證初級題庫題型分別為認證題型分為：「...more
",https://www.books.com.tw/products/0010861624?loc=P_0003_007
8,109年客語能力認證基本詞彙初級/客語能力初級認證題庫(大埔腔)[附USB],,2020-03-01,"
大埔腔客語詞彙、客語標音、華語詞義及客語例句，並加註華語翻譯，共計18單元，內容包含所有日常生活之客家用語等，符合客語認證初級能力之用語。   針對客語能力認證初級題庫題型分別為認證題型分為：「...more
",https://www.books.com.tw/products/0010861625?loc=P_0003_008
9,109年客語能力認證基本詞彙初級/客語能力初級認證題庫(饒平腔)[附USB],,2020-03-01,"
饒平腔客語詞彙、客語標音、華語詞義及客語例句，並加註華語翻譯，共計18單元，內容包含所有日常生活之客家用語等，符合客語認證初級能力之用語。   針對客語能力認證初級題庫題型分別為認證題型分為：「...more
",https://www.books.com.tw/products/0010861662?loc=P_0003_009
10,109年客語能力認證基本詞彙初級/客語能力初級認證題庫(詔安腔)[附USB],,2020-03-01,"
詔安腔客語詞彙、客語標音、華語詞義及客語例句，並加註華語翻譯，共計18單元，內容包含所有日常生活之客家用語等，符合客語認證初級能力之用語。   針對客語能力認證初級題庫題型分別為認證題型分為：「...more
",https://www.books.com.tw/products/0010861663?loc=P_0003_010
